path	main	r5	r6	r7	r8a	r8	r8_fail_rules	r8_failing_numbers	r8_causes	r8_matched_only	total	checked	exempt	chance_p50	chance_max	synthesis	detail
research/findings/2026-09-01-declarative-cross-edge-functional-gate-read-credit-livedrive-GO.md	PASS	FAIL	FAIL	PASS	FAIL	FAIL	unsupported(2)	2	html-comment=1 prose=1	False	31	31	0	0.048	0.049	False	128:0.0067:prose:0.05 129:0.0067:html-comment:0.05
research/findings/2026-09-01-entity-aliasing-verified-against-shipped-scale-alias-bundle.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-generative-cortex-token-supply-lever-broad-domain-plateau-is-starvation-not-capacity-wall.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(5) too_broad(48)	53	near-miss=1 prose=4 too-broad=48	False	65	53	12	0.086	0.108	False	112:4.570:too-broad:0.09 112:4.401:too-broad:0.11 112:4.232:too-broad:0.10 112:4.038:too-broad:0.08 112:3.923:too-broad:0.06 112:0.647:too-broad:0.05 112:0.115:too-broad:0.09 113:4.625:too-broad:0.09 113:4.460:too-broad:0.10 113:4.281:too-broad:0.10 113:4.085:too-broad:0.09 113:3.977:too-broad:0.07 113:0.647:too-broad:0.05 113:0.108:too-broad:0.09 114:4.571:too-broad:0.09 114:4.392:too-broad:0.11 114:4.210:too-broad:0.10 114:4.016:too-broad:0.07 114:3.909:too-broad:0.06 114:0.663:too-broad:0.05 114:0.108:too-broad:0.09 115:4.558:too-broad:0.09 115:4.396:too-broad:0.11 115:4.239:too-broad:0.10 115:4.028:too-broad:0.08 115:3.926:too-broad:0.06 115:0.632:too-broad:0.06 115:0.102:too-broad:0.09 116:4.569:too-broad:0.09 116:4.397:too-broad:0.11 116:4.233:too-broad:0.10 116:4.030:too-broad:0.08 116:3.926:too-broad:0.06 116:0.642:too-broad:0.05 116:0.103:too-broad:0.09 117:4.578:too-broad:0.09 117:4.408:too-broad:0.10 117:4.246:too-broad:0.10 117:4.045:too-broad:0.08 117:3.932:too-broad:0.07 117:0.646:too-broad:0.05 117:0.112:too-broad:0.09 118:4.578:too-broad:0.09 118:4.409:near-miss:0.10 118:4.240:too-broad:0.10 118:4.040:prose:0.08 118:3.932:too-broad:0.07 118:0.646:too-broad:0.05 118:0.108:too-broad:0.09 123:0.240:prose:0.10 123:0.252:too-broad:0.09 125:0.791:prose:0.02 125:0.296:prose:0.10
research/findings/2026-09-01-negation-generate-wiring-stale-claim-closed-plus-hebbian-plausibility-qualified.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	6	6	0	0.000	0.000	False	
research/findings/2026-09-01-nl-parser-kb-relation-question-routing-comprehension-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-np-entailment-copula-coverage-widening.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-np-entailment-moat-gate-wired-into-live-open-ended-postfilter.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-np-entailment-participial-pronoun-coverage-widening.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-onebrain-crossedge-curiosity-d6wm-semantic-drop-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	8	8	0	0.003	0.025	False	
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-GO.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(3)	3	near-miss=1 prose=1 sign=1	False	45	42	3	0.001	0.025	False	123:0.0011:sign:0.03 163:-0.0115:near-miss:0.02 163:-0.0079:prose:0.02
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-production-wire-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	28	28	0	0.001	0.007	False	
research/findings/2026-09-01-onebrain-crossedge-provenance-to-selfschema-reciprocal-GO.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(6)	6	prose=6	False	55	51	4	0.002	0.021	False	30:0.0118:prose:0.02 30:0.0137:prose:0.02 149:0.004:prose:0.01 149:0.008:prose:0.01 150:0.0050:prose:0.02 151:-0.018:prose:0.01
research/findings/2026-09-01-onebrain-merge-pool1-composer-cleanup-regions-declarative-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-open-ended-bundle-moat-safety-soak-fabrication-delta.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-plausibility-ensemble-read-host-parity-generation-all6-default-on-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-production-default-flip-plan.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-read-fidelity-learned-whitened-opponent-read-NOGO-residual-is-read-architecture-not-estimator.md	PASS	FAIL	FAIL	PASS	FAIL	FAIL	too_broad(33)	33	too-broad=33	True	34	34	0	0.153	0.251	False	114:0.121:too-broad:0.24 114:1.007:too-broad:0.06 114:0.567:too-broad:0.19 114:0.692:too-broad:0.15 114:1.000:too-broad:0.06 114:0.518:too-broad:0.22 114:0.676:too-broad:0.16 114:0.630:too-broad:0.17 114:0.680:too-broad:0.15 115:0.330:too-broad:0.25 115:0.663:too-broad:0.16 115:0.652:too-broad:0.17 115:0.683:too-broad:0.15 115:0.831:too-broad:0.08 115:0.580:too-broad:0.19 115:0.712:too-broad:0.14 115:0.751:too-broad:0.11 115:0.702:too-broad:0.14 116:0.530:too-broad:0.21 116:0.731:too-broad:0.12 116:0.801:too-broad:0.10 116:0.975:too-broad:0.06 116:0.561:too-broad:0.19 116:0.800:too-broad:0.10 116:0.664:too-broad:0.16 116:0.755:too-broad:0.11 125:0.330:too-broad:0.25 126:0.121:too-broad:0.24 131:1.000:too-broad:0.06 131:0.975:too-broad:0.06 133:0.755:too-broad:0.11 133:0.702:too-broad:0.14 133:0.680:too-broad:0.15
research/findings/2026-09-01-read-fidelity-separate-trace-recall-read-GO-upstream-shaping-closes-read-power-residual.md	PASS	FAIL	FAIL	PASS	PASS	FAIL	too_broad(8)	8	too-broad=8	True	26	26	0	0.025	0.059	False	98:0.894:too-broad:0.06 99:0.858:too-broad:0.06 100:0.832:too-broad:0.06 101:0.854:too-broad:0.06 102:0.869:too-broad:0.06 103:0.848:too-broad:0.06 115:0.832:too-broad:0.06 115:0.913:too-broad:0.06
research/findings/2026-09-01-seed44-recall-hole-ROOT-CAUSED-phase-quantization-decode-escalation-fix.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	17	17	0	0.009	0.017	False	
research/findings/2026-09-01-source-provenance-honesty-129-default-on-flip-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-surprise-episodic-encode-decision-crossedge-GO.md	PASS	FAIL	FAIL	PASS	PASS	PASS		0		False	48	41	7	0.009	0.052	False	
research/findings/2026-09-01-vision-lindiscrim-opsweep-board135-znorm-dominates-small-nonoverfit-lift-not-capability-crossing.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	58	32	26	0.022	0.026	False	
research/findings/2026-09-01-vision-readout-side-exhausted-satdiv-plus-ridge-plateau-points-to-S2-template-learning.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	1	0	1			False	
research/findings/2026-09-01-vision-s2-bcm-template-learning-NOGO-collapses-without-competition-underperforms-baseline-with-it.md	PASS	PASS	PASS	PASS	PASS	FAIL	too_broad(5)	5	too-broad=5	True	27	23	4	0.025	0.136	False	106:0.001:too-broad:0.13 116:0.316:too-broad:0.14 117:0.001:too-broad:0.13 125:0.001:too-broad:0.13 130:0.316:too-broad:0.14
research/findings/2026-09-01-w5-affective-tom-other-model-graded-circumplex-upgrade-GO.md	PASS	PASS	PASS	PASS	PASS	FAIL	too_broad(1)	1	too-broad=1	True	11	11	0	0.002	0.071	False	55:0.000:too-broad:0.07
research/findings/2026-09-01-wkv-fact-to-sentence-lexicon-and-np-lever.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-wkv-fact-to-svo-clause-first-lever-investigation.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-wkv-mouth-fact-grounding-lever.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-wkv-mouth-fact-sentence-wirein.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	3	3	0	0.018	0.018	False	
research/findings/2026-09-01-wkv-mouth-invocab-scope-leadin-loophole-fix.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-wkv-mouth-learned-head-6seed-ab-through-fixed-default-path-GO.md	PASS	PASS	PASS	PASS	PASS	FAIL	too_broad(17)	17	too-broad=17	True	47	47	0	0.036	0.183	False	103:1.125:too-broad:0.18 103:1.000:too-broad:0.18 104:1.000:too-broad:0.18 104:1.000:too-broad:0.18 105:1.125:too-broad:0.18 105:1.000:too-broad:0.18 106:1.000:too-broad:0.18 106:1.125:too-broad:0.18 107:1.000:too-broad:0.18 107:1.500:too-broad:0.10 108:1.000:too-broad:0.18 108:1.125:too-broad:0.18 124:1.000:too-broad:0.18 124:1.125:too-broad:0.18 125:1.500:too-broad:0.10 125:1.000:too-broad:0.18 125:1.125:too-broad:0.18
research/findings/2026-09-02-c1-surprise-worldmodel-wired-flip-ready.md	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(1)	1	prose=1	False	8	5	3	0.008	0.030	False	81:1.422:prose:0.03
research/findings/2026-09-02-c2-metacog-error-gated-port-second-negative.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(2)	2	prose=2	False	14	14	0	0.042	0.047	False	69:0.0097:prose:0.05 69:0.0423:prose:0.04
research/findings/2026-09-02-c2-metacog-read-isolation-fix-GO.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(8) too_broad(6)	14	prose=8 too-broad=6	False	22	22	0	0.010	0.202	False	55:121.2957:prose:0.00 55:100.4195:prose:0.00 55:120.9968:prose:0.00 55:101.0344:prose:0.20 55:120.0763:prose:0.00 55:99.3291:prose:0.00 56:120.0763:prose:0.00 56:99.3291:prose:0.00 81:0.598:too-broad:0.18 82:0.604:too-broad:0.18 83:0.591:too-broad:0.18 84:0.561:too-broad:0.18 85:0.585:too-broad:0.18 86:0.627:too-broad:0.17
research/findings/2026-09-02-confidence-forthcoming-100k-recalibration-PARTIAL.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(3) too_broad(16)	19	identifier=2 prose=1 too-broad=16	False	35	30	5	0.045	0.046	False	66:0.000:too-broad:0.04 66:0.062:too-broad:0.04 66:0.144:too-broad:0.04 66:0.497:too-broad:0.04 67:0.000:too-broad:0.04 67:0.062:too-broad:0.04 67:0.144:too-broad:0.04 67:0.395:too-broad:0.04 69:0.062:too-broad:0.04 69:0.144:too-broad:0.04 71:0.062:too-broad:0.04 72:0.261:too-broad:0.04 72:0.062:too-broad:0.04 72:0.278:prose:0.05 73:0.497:too-broad:0.04 73:0.395:too-broad:0.04 101:0.343:too-broad:0.04 134:2503.09218:identifier:0.00 136:1903.09215:identifier:0.00
research/findings/2026-09-02-confidence-forthcomingness-100k-6seed-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	1	1	0	0.000	0.000	False	
research/findings/2026-09-02-crossedge-arousal-surprise-derisk-PARTIAL-smoke-go.md	PASS	FAIL	FAIL	PASS	PASS	PASS		0		False	4	4	0	0.015	0.015	False	
research/findings/2026-09-02-crossedge-surprise-metacog-derisk-SMOKE-GO-PARTIAL.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(4)	4	prose=4	False	19	19	0	0.006	0.038	False	76:0.678:prose:0.04 76:0.1032:prose:0.01 76:-0.0088:prose:0.01 76:-0.1120:prose:0.00
research/findings/2026-09-02-crossedge-surprise-worldmodel-derisk-SMOKE-GO-partial-pending-6seed.md	PASS	FAIL	FAIL	PASS	PASS	PASS		0		False	8	8	0	0.012	0.012	False	
research/findings/2026-09-02-cupy-scan-vectorize-byteidentical-fix-queued-for-cupy-latency-reverify.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-cupy-scan-vectorize-latency-result-ACCEPT.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-escalation-gating-tighten-latency-correctness-safe-not-the-lever.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(4)	4	code-span=4	False	26	17	9	0.018	0.018	False	33:-0.0047:code-span:0.01 33:-0.0055:code-span:0.01 33:0.0077:code-span:0.01 33:0.0077:code-span:0.01
research/findings/2026-09-02-generative-cortex-capacity-vs-tokens-larger-capacity-wins-d96-nears-its-ceiling.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(21) too_broad(14)	35	near-miss=3 prose=18 too-broad=14	False	92	78	14	0.058	0.315	False	10:4.536:too-broad:0.21 85:4.536:too-broad:0.21 100:4.536:too-broad:0.21 138:4.536:too-broad:0.21 140:3.9516:prose:0.21 140:3.8802:prose:0.24 140:3.8433:prose:0.32 140:3.8178:prose:0.32 140:3.8029:prose:0.29 141:0.2623:prose:0.08 141:0.2619:prose:0.08 141:0.2528:prose:0.09 141:0.2341:near-miss:0.10 143:3.8029:prose:0.29 145:0.0148:prose:0.06 158:0.348:too-broad:0.23 158:0.697:too-broad:0.11 158:1.394:too-broad:0.08 160:4.3082:too-broad:0.29 160:4.1388:prose:0.27 160:3.8243:prose:0.31 161:0.3130:near-miss:0.04 161:0.3015:near-miss:0.05 161:0.3264:prose:0.03 163:3.783:too-broad:0.19 165:0.0506:prose:0.08 169:0.033:too-broad:0.22 169:0.076:too-broad:0.22 178:4.536:too-broad:0.21 179:3.8029:prose:0.29 179:0.1129:prose:0.09 182:0.1292:prose:0.09 183:0.1584:prose:0.08 217:0.348:too-broad:0.23 218:0.378:too-broad:0.23
research/findings/2026-09-02-integrated-brain-scale-probe-BUILT-scoping.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-integration-program-6seed-harvest-singlepool-GO-C1-GO-C2-NOGO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-memory-separator-continuous-ring-screen-parameter-map.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(1)	1	prose=1	False	4	4	0	0.007	0.007	False	26:0.0002:prose:0.01
research/findings/2026-09-02-onebrain-crossedge-curiosity-d6wm-semantic-drop-read-isolation-reverify-GO-survives.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(6)	6	prose=6	False	14	13	1	0.001	0.026	False	51:2.0202:prose:0.00 52:1.8899:prose:0.00 53:1.9818:prose:0.00 54:1.9708:prose:0.00 55:2.1176:prose:0.00 56:1.7391:prose:0.00
research/findings/2026-09-02-onebrain-crossedge-curiosity-to-d6wm-read-isolation-fix-corrects-GO-to-NOGO-3-6.md	PASS	PASS	FAIL	FAIL	FAIL	FAIL	unsupported(4) too_broad(1)	5	prose=4 too-broad=1	False	47	45	2	0.001	0.052	False	67:0.067875:prose:0.00 67:0.060750:prose:0.05 67:0.067875:prose:0.00 67:0.060750:prose:0.05 94:0.008:too-broad:0.05
research/findings/2026-09-02-onebrain-crossedge-provenance-to-selfschema-read-isolation-fix-GO-survives-narrower-margin.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(13)	13	code-span=7 prose=6	False	56	44	12	0.001	0.038	False	62:0.0139:code-span:0.01 62:0.0955:code-span:0.00 62:0.0122:code-span:0.01 62:0.0963:code-span:0.00 62:0.0125:code-span:0.01 62:0.0947:code-span:0.00 103:4.670:prose:0.00 104:0.02375:prose:0.00 107:1.1833:prose:0.00 107:1.3667:prose:0.01 113:0.008:code-span:0.01 137:0.021:prose:0.01 137:0.024:prose:0.01
research/findings/2026-09-02-onebrain-crossregion-integration-DESIGN-ranked-crossedges.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-onebrain-flip-verify-harness-and-regression-battery-BUILT-derisk-GO.md	PASS	PASS	FAIL	PASS	FAIL	FAIL	unsupported(1)	1	identifier=1	False	1	1	0	0.000	0.000	False	135:10.1002:identifier:0.00
research/findings/2026-09-02-onebrain-r4-selfschema-production-wirein-read-isolation-reverify-GO-survives-floor-residual-worsens.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	8	8	0	0.001	0.016	False	
research/findings/2026-09-02-onebrain-r4-selfschema-provenance-read-isolation-fix-flips-GO-to-NOGO.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(1) too_broad(7)	8	code-fence=1 too-broad=7	False	42	41	1	0.016	1.000	False	34:0.010:too-broad:0.10 80:0.0925:code-fence:0.05 88:0.010:too-broad:0.10 91:2.496:too-broad:0.04 94:2.222:too-broad:0.04 101:0.956:too-broad:0.05 101:1.013:too-broad:0.04 109:0.013229166:too-broad:1.00
research/findings/2026-09-02-onebrain-surprise-episodic-crossedge-readisolation-fix-still-UNDEFINED.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(12) too_broad(3)	15	near-miss=3 prose=9 too-broad=3	False	58	57	1	0.004	0.090	False	27:0.010:too-broad:0.07 84:0.703:prose:0.02 84:0.765:prose:0.02 85:0.442:prose:0.07 85:0.318:prose:0.09 86:0.350:near-miss:0.09 86:0.429:prose:0.07 87:0.649:near-miss:0.02 87:0.286:prose:0.09 88:0.273:prose:0.09 88:0.300:prose:0.09 89:0.415:prose:0.08 89:0.500:too-broad:0.06 115:0.0001:near-miss:0.07 131:0.010:too-broad:0.07
research/findings/2026-09-02-onebrain-twopool-merge-organ-read-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-onebrain-wave1-comprehension-provenance-merge-SMOKE-GO.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(1)	1	prose=1	False	1	1	0	0.001	0.001	False	99:0.746:prose:0.00
research/findings/2026-09-02-onebrain-wave2-selfschema-curiosity-causalwhatif-merge-SMOKE-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	4	0	4			False	
research/findings/2026-09-02-open-ended-episodic-writeback-R1-rung1.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-open-ended-pipeline-integration-rung2-state-writes-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	2	0	2			False	
research/findings/2026-09-02-open-ended-pipeline-integration-rung3-deeper-folds-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-open-ended-qwen-routed-fact-clause-fallback.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	2	2	0	0.002	0.002	False	
research/findings/2026-09-02-pmem-wave3-pool-faculty-alive-and-answer-GO.md	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	missing(1)	0		False	11	0	11			False	
research/findings/2026-09-02-r3v2-r3v3-read-isolation-refix-r3v3-GO-flips-to-NOGO.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(14) too_broad(4)	18	prose=14 too-broad=4	False	81	81	0	0.013	0.205	False	63:0.008:too-broad:0.20 63:0.00170:prose:0.07 63:0.00198:prose:0.07 66:-0.001:too-broad:0.20 66:0.001:too-broad:0.20 90:0.2043:prose:0.08 90:0.3512:prose:0.03 91:0.1728:prose:0.07 91:0.2849:prose:0.08 92:0.2345:prose:0.06 92:0.3434:prose:0.04 93:0.2266:prose:0.07 93:0.3421:prose:0.04 94:0.2723:prose:0.08 94:0.4180:prose:0.03 95:0.2510:prose:0.07 95:0.3809:prose:0.01 109:0.0208:too-broad:0.15
research/findings/2026-09-02-read-isolation-audit-29runner-followup-map-plus-a-bigger-adjacent-bug.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	13	12	1	0.003	0.017	False	
research/findings/2026-09-02-read-isolation-audit-C2-bug-class-across-14-runners.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(3)	3	prose=3	False	16	15	1	0.025	0.025	False	30:0.0105:prose:0.00 30:0.007375:prose:0.00 31:0.008:prose:0.00
research/findings/2026-09-02-regression-battery-thin-probes-lifted.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-self-taught-mouth-vocab-coverage-for-chat-INSUFFICIENT.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-02-sim-deterministic-matvec-all-conductance-paths-megakernel-v1-closed-premise-corrected.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	2	1	1	0.000	0.000	False	
research/findings/2026-09-02-spiking-expectation-rpe-read-isolation-fix-PARTIAL-demotion-still-boundary.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(3)	3	prose=3	False	64	63	1	0.022	0.036	False	46:10.159:prose:0.03 46:8.948:prose:0.04 74:4.372:prose:0.02
research/findings/2026-09-02-subword-self-taught-mouth-design-SUBWORD-CLOSES-OOV-TRAINING-QUEUED.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	1	0	1			False	
research/findings/2026-09-03-OPEN-FLUENCY-BREAKTHROUGH-linattn-deployable-spiking-mouth-beats-trigram-6of6.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(4)	4	prose=4	False	18	13	5	0.031	0.036	False	20:0.0505:prose:0.01 26:-0.125:prose:0.04 27:-0.147:prose:0.04 28:0.0505:prose:0.01
research/findings/2026-09-03-affect-wiring-into-wkv-mouth-GO.md	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(1)	1	code-span=1	False	2	1	1	0.000	0.000	False	224:0.03805555555555556:code-span:0.00
research/findings/2026-09-03-content-addressable-read-without-order-underfits-fluency-NO-GO.md	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	unsupported(10)	10	prose=9 sign=1	False	18	18	0	0.035	0.036	False	20:-0.3467:prose:0.01 20:1.072:prose:0.01 20:3.375:prose:0.00 25:-0.1252:prose:0.01 26:-0.3467:prose:0.01 33:3.375:prose:0.00 40:6.243:prose:0.03 40:6.131:prose:0.04 40:-0.415:sign:0.04 40:-0.381:prose:0.04
research/findings/2026-09-03-crossedge4-pragmatic-metacog-coupling-DESIGN.md	PASS	PASS	FAIL	FAIL	FAIL	FAIL	unsupported(1) too_broad(2)	3	sign=1 too-broad=2	False	3	3	0	0.077	0.078	False	161:0.008:too-broad:0.08 188:0.008:too-broad:0.08 223:0.005:sign:0.08
research/findings/2026-09-03-gnw-bus-family-retire-status-ledger-drift-CORRECTED.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-03-linattn-mouth-broad-scope-coverage-threshold.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	1	1	0	0.003	0.003	False	
research/findings/2026-09-03-linattn-mouth-generation-coherence-viable-with-caveats.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	8	8	0	0.036	0.036	False	
research/findings/2026-09-03-linattn-mouth-live-brain-grounded-honest-verification-PARTIAL-affect-gap.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	1	1	0	0.000	0.000	False	
research/findings/2026-09-03-linattn-production-mouth-wiring-DESIGN.md	PASS	PASS	FAIL	FAIL	FAIL	FAIL	unsupported(3)	3	code-span=1 near-miss=2	False	21	21	0	0.027	0.036	False	9:0.049:near-miss:0.03 28:0.049:code-span:0.03 393:0.049:near-miss:0.03
research/findings/2026-09-03-linattn-spike-native-normalization-DESIGN.md	PASS	PASS	FAIL	FAIL	FAIL	FAIL	unsupported(7) too_broad(3)	10	identifier=4 prose=3 too-broad=3	False	14	14	0	0.039	0.052	False	23:0.0505:prose:0.01 66:0.456:too-broad:0.05 68:0.429:prose:0.05 70:0.456:too-broad:0.05 77:10.1038:identifier:0.00 326:0.456:too-broad:0.05 328:0.0505:prose:0.01 331:10.1038:identifier:0.00 333:10.1126:identifier:0.00 333:1610.06258:identifier:0.00
research/findings/2026-09-03-on-bridge-spiking-LP-max-curiosity-DESIGN.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-03-on-bridge-spiking-LP-max-curiosity-selection-layer-6seed-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-03-one-brain-mouth-integration-ROADMAP.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
