epoch	wave	job_line	out	add_rc
1790293749	1	59	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/pragmatic-implicature/lb.json	0
1790293765	1	60	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/surprise-monitor/lb.json	0
1790293777	1	61	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/metacog-monitor/lb.json	0
1790293787	1	62	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/worldmodel-forward/lb.json	0
1790293798	1	63	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/curiosity-followup/lb.json	0
1790293808	1	64	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/reconsolidation/lb.json	0
1790293818	1	65	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/episodic-memory/lb.json	0
1790293828	1	66	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/discourse-register/lb.json	0
1790293841	1	67	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/gnw-multistep-deliberation/lb.json	0
1790293851	1	68	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/self-initiated-utterance/lb.json	0
1790293861	1	69	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/vision-identity-spiking-hmax/lb.json	0
1790293871	1	70	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/bg-action-selection/lb.json	0
1790293882	1	71	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/open-ended-generation/lb.json	0
1790293892	1	72	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/gnw-deliberation/lb.json	0
1790293905	1	73	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/value-driven-choice/lb.json	0
1790293915	1	74	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/confidence-forthcomingness/lb.json	0
1790293925	1	75	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/d5-consolidate/lb.json	0
1790293936	1	76	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/sleep-replay/lb.json	0
1790293946	1	77	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/affective-tom/lb.json	0
1790293957	1	78	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/causal-whatif/lb.json	0
1790293969	1	79	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/spiking-anaphor/lb.json	0
1790293979	1	80	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/gnw-bus/lb.json	0
1790293990	1	81	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/multiref-competition/lb.json	0
1790294000	1	82	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/affect-appraisal-interoceptive/lb.json	0
1790294010	1	83	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/spiking-qroute/lb.json	0
1790294021	1	84	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/learned-referent/lb.json	0
1790294031	1	85	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/onebrain-xedge/lb.json	0
1790294041	1	86	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/surprise-salience-snc-afferent/lb.json	0
