# claim_check retro-scan, 2026-09-25: MAIN's tools/claim_check.py (7e2edc08e, standalone <!--derived--> runs to the next '## ' heading)
# vs ROUND 4's parser-based tools/claim_check.py (branch research/claimcheck-parser-scope @ 214e509bf).
# Run inside the round-4 worktree, so both checkers resolve the SAME artifacts (research/findings/raw files that are
# untracked in the primary checkout are absent here for BOTH; a 'missing artifact' reason is shared, not new).
# Populations: (a) research/findings/*.md ADDED on main since 2026-09-01 (git log --since=2026-09-01 --diff-filter=A):
# 353 paths, 351 on disk; (b) the whole corpus, research/findings/*.md: 2970 docs.
#
# COUNTS                              (a) since 2026-09-01   (b) whole corpus
#   main-pass / new-pass                      286                 1462
#   main-pass / new-FAIL                       34                  168
#   main-FAIL / new-pass                        0                    0
#   main-FAIL / new-FAIL                       31                 1340
#     of which round 4 flags MORE numbers         6                   21   (docs where round 4 flags FEWER: 0)
# main-pass/new-fail reasons (a): {'unsupported number': 33, 'unsupported number + low coverage': 1}
# main-pass/new-fail reasons (b): {'unsupported number': 152, 'unsupported number + low coverage': 1, 'low coverage': 15}
#
# WHY each flagged line moved (column scope_change; flagged LINES, whole corpus): the marker's scope used to run to the
# next '## ' heading and now covers only its next paragraph/list/table, so a number in a LATER block of the same
# section is checked ('later block in the same section'); a marker directly before a heading, a fence or a non-comment
# html block now covers nothing; a lazy continuation line after a list item is checked; a marker inside a fence is text.
# Classification is descriptive (scratch script, same parser), not part of the checker.
#
# A FLAG IS NOT PROOF OF AN ERROR. 'unsupported number' means the number does not appear in any cited artifact within
# tolerance and is no longer inside a derived scope. Many flagged numbers are legitimate re-quotes, rounded means or
# differences whose author relied on the old section-wide scope and would now mark them inline or with a range; some
# may be genuine errors. This scan did not read them. The board (GAP_CLOSURE_MISSION.md, 02:55 claim-check entry)
# records audit branches research/claimcheck-audit-1..4 with 8 corrections from a manual pass over ROUND 2's flags;
# those edits are not merged and not reflected here. 'low coverage' = >= 40 numeric claims with < 5% checked.
# claim_check runs only on newly ADDED findings at commit, so none of these legacy docs blocks anything.
#
# Columns: doc | population | direction | new_reasons | main_reasons | new_unsupported_n | new_unsupported (line=value,
# first 6) | new_checked/total | new_suppressed_by_mechanism | scope_change (flagged lines by cause)
doc	population	direction	new_reasons	main_reasons	new_unsupported_n	new_unsupported	new_checked_total	new_suppressed	scope_change
research/findings/2026-09-02-onebrain-crossedge-provenance-to-selfschema-read-isolation-fix-GO-survives-narrower-margin.md	since_2026-09-01	main-pass/new-fail	unsupported number + low coverage	-	1	L113=0.008	2/56	section=0 range=0 block=12 inline=42 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-02-onebrain-r4-selfschema-provenance-read-isolation-fix-flips-GO-to-NOGO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	5	L80=0.0925, L99=0.0006, L101=0.956, L101=1.013, L109=3.553	16/42	section=0 range=0 block=25 inline=1 synthesis=0	later block in the same section (main ran to the next '## ') x3; fence after the marker's unit (fences are never a sibling scope) x1
research/findings/2026-09-02-onebrain-wave1-comprehension-provenance-merge-SMOKE-GO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	1	L99=0.746	1/1	section=0 range=0 block=0 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-02-r3v2-r3v3-read-isolation-refix-r3v3-GO-flips-to-NOGO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	7	L63=0.0017, L63=0.00198, L66=0.001, L109=0.0122, L109=0.0142, L109=0.0186, +1 more	8/80	section=0 range=0 block=72 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-09-03-ordered-attention-at-shared-fluency-bound-investigation-verdict.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	6	L32=0.347, L32=0.147, L41=0.125, L42=0.794, L42=0.633, L42=0.661	6/21	section=0 range=0 block=15 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-09-05-affect-experienced-opponent-gate-needs-embodiment-BOUNDARY.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	2	L81=0.0068, L82=0.089	6/18	section=0 range=0 block=10 inline=2 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-05-affect-learned-gate-retry-register-confound-BOUNDARY.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	10	L71=0.01, L71=0.02, L72=0.147, L72=0.167, L73=0.02, L73=0.02, +4 more	10/13	section=0 range=0 block=0 inline=3 synthesis=0	later block in the same section (main ran to the next '## ') x5
research/findings/2026-09-05-gnw-congruence-spiking-read-rank8-derisk-GO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	6	L83=0.0007, L83=0.0545, L83=0.27, L83=0.306, L83=0.225, L83=0.287	6/6	section=0 range=0 block=0 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-05-metacog-accumulation-to-bound-middle-band-PARTIAL.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	22	L46=0.825, L50=0.959, L50=0.954, L50=0.825, L99=0.867, L99=0.058, +16 more	30/34	section=0 range=0 block=2 inline=2 synthesis=0	later block in the same section (main ran to the next '## ') x12
research/findings/2026-09-05-metacog-spiking-margin-prodflip-verify-NOGO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	9	L230=0.45, L230=0.336, L230=0.413, L231=0.442, L231=0.396, L231=0.482, +3 more	10/12	section=0 range=0 block=2 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-09-05-metacog-spiking-recall-margin-derisk-PARTIAL.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	12	L56=0.959, L56=0.954, L58=0.786, L58=0.946, L58=0.156, L60=0.946, +6 more	13/36	section=0 range=0 block=21 inline=2 synthesis=0	later block in the same section (main ran to the next '## ') x4
research/findings/2026-09-05-onebrain-fact-shard-dg-ca3-sublinear-spiking-retrieval-derisk-GO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	1	L119=0.369	3/5	section=0 range=0 block=0 inline=2 synthesis=0	marker followed by a html_block (not a scope type) x1
research/findings/2026-09-05-shared-salience-afferent-production-default-flip-GO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	5	L112=1.049, L133=0.791, L134=0.0462, L136=0.791, L136=0.046	9/57	section=0 range=0 block=48 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x4
research/findings/2026-09-08-affect-opponent-columnar-spiking-worst-case-unchanged-BOUNDARY.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	23	L66=0.0095, L72=0.02, L72=0.049, L72=0.02, L72=0.433, L72=0.059, +17 more	37/50	section=0 range=0 block=12 inline=1 synthesis=0	later block in the same section (main ran to the next '## ') x7
research/findings/2026-09-09-spiking-anaphor-detection-wirein-both-callsites-default-off.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	1	L97=0.867	5/41	section=0 range=0 block=36 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-09-spiking-novelty-wirein-engagement-of-default-off.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	6	L93=0.674, L95=0.32, L95=0.605, L95=0.33, L95=0.951, L95=0.927	6/54	section=0 range=0 block=48 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-15-rank7-affect-opponent-gain-sweep-mistargeted-boundary-reproduced-6seed.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	2	L40=0.027, L65=0.029	7/7	section=0 range=0 block=0 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-15-token-supply-scaling-6seed-lever-confirmed-descending-load-cap-found.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	4	L54=0.009, L57=0.036, L57=0.048, L58=3.928	8/17	section=0 range=0 block=9 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-09-16-vision-nglimpses-temporal-evidence-integration-lifts-capability-2of6-to-4of6.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	2	L54=0.556, L59=0.556	2/7	section=0 range=0 block=5 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-23-affect-marker-settle-deliberation-and-rest-oplevel-go-6seed.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	3	L135=0.137, L135=0.158, L140=0.0097	4/43	section=0 range=0 block=36 inline=3 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-23-da-encoding-natural-drive-v3-synaptic-capture-6seed-GO-runner-level.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	2	L60=0.056, L60=0.07	3/28	section=0 range=0 block=25 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-24-gap4-transport-ceiling-instrument-diagnosed-dev-seed7-UNDEFINED.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	6	L137=0.222, L137=0.13, L138=0.222, L139=0.17, L139=0.1625, L141=0.065	14/60	section=0 range=0 block=46 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x4
research/findings/2026-09-24-gap4-transport-ceiling-readout-lever-PREREGISTRATION.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	21	L41=0.093, L41=0.167, L41=0.167, L46=0.163, L47=0.152, L324=0.1725, +15 more	35/84	section=0 range=0 block=49 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x7
research/findings/2026-09-24-lexicon-closed-class-frame-junction-dev-s7-not-ready.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	3	L70=0.333, L76=0.233, L76=0.147	3/9	section=0 range=0 block=5 inline=1 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-03-spiking-depth-tokens-closing-fluency-gap-milestone.md	since_2026-09-01	both-fail/new-flags-more	unsupported number + missing artifact	missing artifact	3	L37=0.125, L39=2408.15, L39=2406.03	3/14	section=0 range=0 block=11 inline=0 synthesis=0	-
research/findings/2026-09-03-spiking-mouth-ssm-dualnonneg-fluency-NO-GO-first-brain-based-baseline.md	since_2026-09-01	both-fail/new-flags-more	unsupported number + missing artifact	missing artifact	1	L35=0.125	1/12	section=0 range=0 block=11 inline=0 synthesis=0	-
research/findings/2026-09-03-trigram-baseline-strength-characterization-not-saturated-tokenization-sensitive.md	since_2026-09-01	both-fail/new-flags-more	unsupported number + missing artifact	missing artifact	3	L67=4.155, L83=4.157, L83=4.644	6/51	section=0 range=0 block=41 inline=4 synthesis=0	-
research/findings/2026-09-04-gnw-lc-ne-adaptive-gain-swap-eviction-GO.md	since_2026-09-01	both-fail/new-flags-more	unsupported number	unsupported number	9	L14=0.0033, L14=0.0047, L107=0.0033, L107=0.0047, L107=0.0014, L109=0.167, +3 more	11/13	section=0 range=0 block=2 inline=0 synthesis=0	-
research/findings/2026-09-04-linattn-shunt-gain-tier1-PARTIAL-5of6.md	since_2026-09-01	both-fail/new-flags-more	unsupported number	unsupported number	12	L28=0.036, L54=0.0025, L54=0.0053, L55=0.0033, L59=0.003, L212=0.0458, +6 more	50/93	section=0 range=0 block=40 inline=3 synthesis=0	-
research/findings/2026-09-22-prospective-memory-facilitation-load-bearing-6seed.md	since_2026-09-01	both-fail/new-flags-more	unsupported number	unsupported number	11	L60=0.344, L60=0.336, L60=0.211, L60=0.284, L60=0.276, L60=0.313, +5 more	12/24	section=0 range=0 block=4 inline=8 synthesis=0	-
research/findings/2026-07-31-gap5-tuned-point-is-INSIDE-the-bound-trap-97pct-of-dW-is-the-clamp.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	1	L91=0.0025	4/10	section=1 range=0 block=5 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-01-E-language-two-pool-structural-separation-real-advance-but-residual-reg-vs-irr-tradeoff-1seed.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	2	L39=0.571, L39=0.714	2/19	section=0 range=0 block=17 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-01-agency-authorship-tag-corollary-discharge-source-monitor-6seed-GO.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	4	L44=0.486, L44=0.508, L51=0.167, L52=0.248	9/23	section=0 range=0 block=14 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-08-01-gap4-BDSP-weak-consistent-positive-on-harder-task-regime-confirmed-6seed.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	6	L39=0.053, L39=0.068, L39=0.017, L39=0.051, L39=0.09, L39=0.106	7/27	section=0 range=0 block=20 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-01-gap4-DFC-transport-free-deep-feedback-control-overfits-movable-hidden-instrument-verified-NEGATIVE.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	2/43	section=0 range=0 block=41 inline=0 synthesis=0	-
research/findings/2026-08-01-gap4-coincidence-gated-BDSP-ties-reservoir-on-real-spikes-no-reliable-credit-6seed-NEGATIVE.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	11	L18=0.028, L18=0.286, L18=0.129, L18=0.065, L18=0.022, L19=0.324, +5 more	17/38	section=0 range=0 block=21 inline=0 synthesis=0	lazy continuation line after a list/blockquote item x4; later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-01-gap4-larger-task-does-NOT-rescue-supervised-deep-credit-movable-hidden-foothold-does-not-scale-6seed-NEGATIVE.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	3	L52=0.869, L52=0.139, L52=0.083	4/30	section=0 range=0 block=26 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-01-gap4-multihop-chained-spiking-port-6seed-NEGATIVE-depth-rescue-does-not-transfer-to-spiking-read-regime.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	3	L43=0.531, L43=0.876, L44=2607.13	3/3	section=0 range=0 block=0 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-08-01-gap4-spiking-port-sigmaprime-KP-single-layer-does-NOT-beat-frozen-6seed-NEGATIVE.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	14	L34=0.444, L34=0.185, L34=0.241, L34=0.407, L34=0.444, L34=0.315, +8 more	14/31	section=0 range=0 block=17 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x4
research/findings/2026-08-01-gap4-transport-free-ceiling-FALSIFIED-chained-FA-sigmaprime-clears-it-plus-MNIST-depth4-KP-rescue-6seed.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	5	L78=0.301, L79=0.653, L80=0.951, L80=0.465, L80=0.621	5/46	section=0 range=0 block=41 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-08-01-gap4-unsupervised-rule-does-NOT-survive-port-to-real-spikes-degrades-below-reservoir-6seed-NEGATIVE.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	5	L41=0.063, L41=0.975, L42=0.099, L42=0.111, L42=0.13	5/28	section=0 range=0 block=23 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-08-02-gap1-wkv-width-ladder-scale-read-run4-d2048-is-the-next-spiking-forward-target.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	0/52	section=0 range=0 block=52 inline=0 synthesis=0	-
research/findings/2026-08-02-gap4-DFA-eprop-is-depth-robust-scales-to-N4-where-chained-multihop-FA-collapses-the-chain-was-the-depth-wall.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	0/45	section=0 range=0 block=45 inline=0 synthesis=0	-
research/findings/2026-08-02-gap4-FA-convergence-is-the-onbridge-credit-root-cause-6of6-LIF-converge-0of6-izhikevich.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	0/82	section=0 range=0 block=82 inline=0 synthesis=0	-
research/findings/2026-08-02-gap4-crux-wall-LOCATED-at-the-spiking-read-regime-even-perfect-Wtranspose-oracle-gives-no-directed-credit-6seed.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	2	L41=0.171, L41=0.843	3/27	section=0 range=0 block=24 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-02-gap4-representable-forward-does-NOT-let-eprop-train-on-a-dense-codon-the-wall-is-the-onbridge-credit-plus-codon-sparsity.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	3	L34=0.994, L34=0.877, L35=0.499	3/31	section=0 range=0 block=28 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-08-02-laneC-metacog-margin-comparator-PARTIAL-real-signal-not-robust-next-is-symmetric-or-learned-error-monitor.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	165	L60=0.502, L61=0.632, L61=0.821, L63=0.664, L84=0.685, L85=1.071, +159 more	254/279	section=0 range=0 block=25 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x65
research/findings/2026-08-02-laneD-v1-pooler-trace-route-NOGO-default-3seed-needs-op-point-or-normalization.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	27	L43=0.333, L44=0.333, L54=0.333, L54=-0.011, L54=0.027, L54=0.333, +21 more	72/72	section=0 range=0 block=0 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x9
research/findings/2026-08-03-neural-vocal-credit-gateB-v1-yoked-NO-GO.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	0/40	section=0 range=0 block=0 inline=40 synthesis=0	-
research/findings/2026-08-03-replay-cortical-consolidation-v2-calibration-NO-GO.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	4	L58=0.0021, L58=0.0194, L59=0.0069, L61=0.015	5/26	section=0 range=0 block=7 inline=14 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-08-03-visual-identity-spike-latency-calibration-NO-GO.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	2	L55=0.905, L55=0.881	16/22	section=0 range=0 block=4 inline=2 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-04-gpi-snr-autonomous-pacemaking-biophysical-fallback-RESEARCH.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	0/65	section=0 range=0 block=0 inline=65 synthesis=0	-
research/findings/2026-08-05-v14-stageB-fast-channel-state-family-research-gate.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	11	L108=10.1371, L110=10.1371, L110=10.7488, L114=10.1371, L116=10.1371, L118=10.3389, +5 more	22/22	section=0 range=0 block=0 inline=0 synthesis=0	marker followed by a heading (scopes nothing) x6
research/findings/2026-08-05-v14-stageB-kv3-candidate-source-review.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	5	L154=7.344, L154=-0.0807, L155=0.611, L155=0.08625, L160=0.0066	14/14	section=0 range=0 block=0 inline=0 synthesis=0	fence after the marker's unit (fences are never a sibling scope) x3
research/findings/2026-08-05-v14-stageB-sodium-candidate-source-review.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	5	L43=10.1523, L43=10.201, L66=10.1523, L66=4899.2, L87=10.1371	5/5	section=0 range=0 block=0 inline=0 synthesis=0	marker followed by a heading (scopes nothing) x3
research/findings/2026-08-06-gateB-stage2f-contingency-gated-exploration-NO-GO.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	1	L52=0.192	2/33	section=0 range=0 block=31 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-06-replay-cortical-consolidation-v5-sfa-eviction-closes-interference-wall-order-control-is-next.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	0/43	section=0 range=0 block=43 inline=0 synthesis=0	-
research/findings/2026-08-06-replay-cortical-consolidation-v6-order-sensitive-STDP-closes-order-control-GO.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	0/42	section=0 range=0 block=42 inline=0 synthesis=0	-
research/findings/2026-08-06-source-monitor-P3-functional-role-and-tradeoff-spec.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	1	L83=0.0092	1/4	section=0 range=0 block=3 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-07-BORN-learned-bodily-self-model-forward-model-agency-smoke-GO.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	4	L57=0.018, L129=0.518, L129=0.528, L132=0.339	12/35	section=0 range=0 block=17 inline=6 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-08-07-grounded-message-to-word-onbridge-spiking-naming-map.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	1	L80=0.967	2/24	section=0 range=0 block=22 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-07-laneC-neural-abstain-hedge-gate-learned-metacog-confidence-single-seed-derisk.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	4	L72=0.317, L73=0.308, L73=0.714, L75=0.317	7/54	section=0 range=0 block=47 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x3
research/findings/2026-08-07-laneD-v1-pooler-trace-homeostatic-scaling-REGRESSES-not-the-companion-process.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	23	L51=0.389, L60=0.155, L60=0.158, L60=0.183, L60=0.333, L61=0.333, +17 more	38/46	section=0 range=0 block=8 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x7
research/findings/2026-08-07-rubicon-half2-vspatch-reward-timed-value-maintenance-GO-looking.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	3	L37=0.004, L87=0.977, L87=0.004	4/6	section=0 range=0 block=1 inline=1 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-08-07-stageA-honesty-floor-6of6-SAFE-conservative-nonpeeking-edge-margin-guard-seed43-regression-eliminated.md	before_2026-09-01	main-pass/new-fail	unsupported number	-	2	L55=0.031, L55=0.031	2/35	section=0 range=0 block=33 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-08-07-stageA-honesty-floor-strengthen-axis-separated-familiar-wrong-catch-4of6-fit-guard.md	before_2026-09-01	main-pass/new-fail	low coverage	-	0	-	1/46	section=0 range=0 block=45 inline=0 synthesis=0	-
